"Vote","Occupation_Satisfaction","Avg_monthly_expense_when_under_age_21","AVG_lottary_expanses","Most_Important_Issue","Avg_Satisfaction_with_previous_vote","Looking_at_poles_results","Garden_sqr_meter_per_person_in_residancy_area","Married","Gender","Voting_Time","Financial_balance_score_(0-1)","%Of_Household_Income","Avg_government_satisfaction","Avg_education_importance","Avg_environmental_importance","Avg_Residancy_Altitude","Yearly_ExpensesK","%Time_invested_in_work","Yearly_IncomeK","Avg_monthly_expense_on_pets_or_plants","Avg_monthly_household_cost","Will_vote_only_large_party","Phone_minutes_10_years","Avg_size_per_room","Weighted_education_rank","%_satisfaction_financial_policy","Avg_monthly_income_all_years","Last_school_grades","Age_group","Number_of_differnt_parties_voted_for","Political_interest_Total_Score","Number_of_valued_Kneset_members","Main_transportation","Occupation","Overall_happiness_score","Num_of_kids_born_last_10_years","Financial_agenda_matters"
"Purples",10,520.295896381069,67907.2512934388,"Healthcare",173.431965460356,"No",391.549799445485,"Yes","Male","After_16:00",0.150984349660575,0.385761532234028,7.77274588588625,0.560348583385348,5.47502975678071,3.02529993001372,6855,23.5602479195222,450.653570662557,4816.80513577996,52076.7896634982,"No",153311.245445799,21.2286026544979,150.956057134294,3.25809235218912,30262.0786089026,80,"45_and_up",4,648.398789626077,10,"Public_or_other","Hightech",407.311192170454,1,"No"
"Greens",4,695.412345681662,71279.9722315487,"Environment",231.804115227221,"No",307.500892129021,"Yes","Female","By_16:00",0.74690764490515,0.070304358843714,4.1931602335535,9.77425349876285,4.79302755789831,8.54246649658307,7187,86.5874039474875,498.601997772106,4072.21291683442,60028.3105797675,"No",94556.7986601438,22.3293976132834,243.049662052601,41.8951137457043,53974.9519515018,90,"30-45",1,803.679617464443,14,"Motorcycle_or_truck","Public_Sector",648.375460513292,0,"No"
"Browns",2,102.471366430754,18386.5084651439,"Healthcare",NA,"No",538.292084088738,"No","Female","By_16:00",0.062502799089998,0.432474359637126,6.10092540970072,9.46153591852635,1.56600939575583,9.34596617473289,6172,78.3766318578273,496.224860461171,6375.37056180972,60724.5767190617,"No",289758.367792597,22.2761051456751,41.800124008954,62.5584764638916,1210.86611527536,80,"45_and_up",1,758.597288316525,7,"Foot_or_bicycle","Services_or_Retail",516.331410985194,4,"Yes"
"Pinks",6,392.898135111599,89911.7333436825,"Social",130.9660450372,"No",686.527056063607,"No","Male","By_16:00",0.562049224041402,0.133389700204134,5.38201926276088,5.12867199024186,5.06098708836362,0.670589958317578,6587,17.9051625542343,654.877043912994,8175.02464846206,75250.5456702745,"No",471319.398707363,25.5905655254626,242.820062416562,74.895839788951,17293.070997723,NA,"Below_30",4,901.290353914005,8,"Motorcycle_or_truck","Student_or_Unemployed",486.496617571898,0,"Yes"
"Blues",1,1825.06243110282,2697.30945763296,"Healthcare",608.354143700939,"Yes",4.43378168055832,"Yes","Male","After_16:00",0.0264443748164922,0.0132303228601813,3.46330574713647,3.29469067975879,9.84481661347672,6.21127426624298,4136,98.9696171367541,380.780842358023,805.899501521629,34112.586697978,"Yes",19.6584199908545,19.5136065953483,615.249472315146,87.4053258216009,370713.118301804,80,"Below_30",2,420.857984567813,11,"Foot_or_bicycle","Industry_or_other",155.423696555074,NA,"Yes"
"Oranges",7,540.959917109518,75065.2326543693,"Military",180.319972369839,"No",416.289064754343,"Yes","Female","After_16:00",0.337836508406326,0.754063137574121,0.464323726482689,3.06250957539305,2.15410314965993,6.82022745721042,5877,97.9296947829425,333.258387856566,4829.40742325656,43987.9111373446,"Maybe",173296.585434045,18.2553660017148,194.325581488063,5.42424055747688,32705.6124078294,30,"30-45",1,564.394629633202,8,"Motorcycle_or_truck","Public_Sector",445.666348173718,0,"No"
"Greens",9,295.79485002264,24974.1772085458,"Healthcare",98.5982833408801,"No",253.292211206189,"Yes","Male","After_16:00",0.0776634768117219,0.544321307446808,9.27243015030399,5.18835661234334,9.51719712931663,4.68261699657887,7989,73.144348920323,498.910504843498,3530.74312174888,58402.5039187768,"No",64156.9442577205,22.3363046371484,272.911542513836,97.8578467154875,9830.21976110935,80,"Below_30",1,782.689891583936,14,"Car","Student_or_Unemployed",616.682432208338,1,"No"
"Pinks",8,60.1524182723977,13755.5864985589,"Healthcare",20.0508060907992,"No",686.036583081366,"No","Female","After_16:00",0.848434620769694,0.184055726975203,7.36323968041688,5.21519623696804,NA,0.485424664802849,9268,56.1789459548891,653.5214653187,8167.40876145106,75981.5172701927,"No",470646.193325956,25.5640658995923,242.330215312768,1.40398016665131,432.085630981631,80,"Below_30",1,918.450762580042,7,"Motorcycle_or_truck","Industry_or_other",NA,1,"No"
"Greens",1,217.746309622678,21020.5946118799,"Environment",72.5821032075592,"No",289.611263423553,"Yes","Male","By_16:00",0.0594294769689441,0.858621346531436,0.861055827699602,8.10441754991189,9.9645113106817,3.81014298647642,3289,3.08681279420853,501.57647031446,3899.26557486445,59695.9197043034,"No",83874.6839017864,22.3959029805556,250.958705452245,1.57769008073956,5350.74380924033,90,"30-45",0,798.780180080721,11,"Public_or_other","Industry_or_other",636.800460910703,0,"Yes"
"Yellows",3,-284.978408937306,-58574.6790308509,"Social",-94.9928029791021,"Yes",616.622282887442,"No","Male","After_16:00",0.356222967384383,0.781968095107004,2.53139032516629,3.44269278459251,6.68066893005744,2.94314169790596,4078,23.4521892853081,581.483968241836,7329.19076535809,65835.9276691059,"Yes",380223.03975332,24.1139786895866,183.493499098731,61.1099234083667,8938.63981484741,70,"30-45",2,777.055004068843,13,"Foot_or_bicycle","Public_Sector",384.114408724893,0,"Yes"
"Whites",8,219.046525074412,39124.9765599028,"Financial",73.0155083581375,"No",535.84474640643,"No","Male","After_16:00",0.123270846670493,0.0878205092158169,8.50039266049862,0.0856611458584666,9.43588998168707,7.63566148467362,8668,NA,415.812488640867,6190.07244134604,52821.1882331857,"No",287129.592251372,20.3914807858789,102.318684381263,75.7929109735414,5414.27996915538,60,"Below_30",0,654.920680787141,7,"Foot_or_bicycle","Student_or_Unemployed",454.209932739435,0,"Yes"
"Purples",1,67.318789438385,8585.50511120594,"Healthcare",22.4395964794617,"No",382.605147069557,"Yes","Female","By_16:00",0.186563277617097,0.662737548118457,4.11072282120585,1.49778743740171,9.23619621666148,5.10177058866248,3494,88.4474280755967,408.613698806643,4643.27886830885,49682.2367225225,"No",146386.698564117,20.2141954776005,155.131376738213,18.5725088231266,535.97508664053,80,"45_and_up",2,634.031394020079,14,"Foot_or_bicycle","Industry_or_other",456.037100774288,0,"No"
